bathrooms,parking,price,rooms,size,ubication,years
1,1,"2,260,000",3,110 m²,"Alianza Popular 1, Alianza Popular Revolucionaria, Coyoacán, Distrito Federal",
2,2,"22,000",4,84 m²,"Av. Adolfo Ruiz Cortinez, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
2,1,"2,427,958",2,68 m²,"San Jorge 250, Pedregal de Santa Ursula, Coyoacán, Distrito Federal",3
2,1,"4,100,000",3,183 m²,"Cerro De San Andres 136, Campestre Churubusco, Coyoacán, Distrito Federal",
3,3,"6,668,627",6,123 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,1,"3,371,943",2,73 m²,"Av Division Del Norte 0, San Pablo Tepetlapa, Coyoacán, Distrito Federal",0 años
0 años,,"17,000",2,3,"Snsn, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",
1,1,"2,692,000",2,54 m²,"Calz  De Tlalpan, Ciudad Jardín, Coyoacán, Distrito Federal",
0 años,,"1,662,556",1,2,"Francisca Garcia Batle 55, Culhuacán CTM Sección I, Coyoacán, Distrito Federal",
2,1,"2,160,000",2,81 m²,"Coyoacán, Distrito Federal",
3,3,"8,800,000",6,300 m²,"Rinconada De Los Tules, Paseos De Taxqueña, Coyoacán, Distrito Federal",
2,2,"2,781,000",4,90 m²,"Jumil, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
2,2,"16,500",4,90 m²,"División Del Norte, Ex-Ejido De San Pablo Tepetlapa, Coyoacán, Distrito Federal",0 años
No,2,"8,900",1,2,"Taxqueña 1231, Campestre Churubusco, Coyoacán, Distrito Federal",
1,0 años,"1,450,000",1,3,"Departamento En Venta Prado Churubusco Coyoacán, Prado Churubusco, Coyoacán, Distrito Federal",
0 años,,"2,793,194",1,2,"Rosario Castellanos20, Culhuacán CTM Sección VIII, Coyoacán, Distrito Federal",
1,2,"1,277,300",2,61 m²,"Coyoacán, Distrito Federal",
0 años,,"1,700,000",1,2,"Rosa Ma. Sequeira00, San Francisco Culhuacan Barrio De San Francisco, Coyoacán, Distrito Federal",
2,3,"45,400",5,254 m²,"Villa Coyoacán, Coyoacán, Distrito Federal",
0 años,,"1,189,000",1,2,"Paseo De La Higueras150, Paseos De Taxqueña, Coyoacán, Distrito Federal",
1,1,"605,000",1,2,"Rinconada Fauna #fauna, Pedregal De Carrasco, Coyoacán, Distrito Federal",
2,2,"3,812,500",4,107 m²,"Copal, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",0 años
3,2,"3,590,000",5,87 m²,"Av. Pacífico, El Rosedal, Coyoacán, Distrito Federal",
2,2,"6,950,000",4,100 m²,"Miguel Angel De Quevedo, Barrio La Concepción, Coyoacán, Distrito Federal",0 años
3,3,"5,767,045",6,118 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,2,"12,800",4,78 m²,"Escuela Naval Militar, Paseos De Taxqueña, Coyoacán, Distrito Federal",0 años
1,,"958,919",2,60 m²,"Av. Santa Ana 00, Culhuacán CTM CROC, Coyoacán, Distrito Federal",
1,1,"15,000",1,40 m²,"Berlín, Del Carmen, Coyoacán, Distrito Federal",Loft
1,1,"1,190,000",2,75 m²,"Coyoacán, Distrito Federal",
2,2,"3,950,000",4,73 m²,"Av División Del Norte, Pueblo de San Pablo Tepetlapa, Coyoacán, Distrito Federal",0 años
3,2,"6,500,000",5,133 m²,"Boulevard Adolfo López Mateos, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
1,1,"1,923,213",2,35 m²,"Calzada De Tlalpan, El Reloj, Coyoacán, Distrito Federal",
3,3,"5,558,068",6,114 m²,"Av El  Bordo, El Hueso Infonavit, Coyoacán, Distrito Federal",0 años
3,3,"5,600,458",6,117 m²,"Av. El Bordo, Ex-Hacienda Coapa, Coyoacán, Distrito Federal",0 años
2,2,"29,500",2,114 m²,"Blvd. Adolfo Ruiz Cortines, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
,,"4,570,031",,81 m²,"Ex-Hacienda Coapa, Coyoacán, Distrito Federal",
,,"7,500",,1,"Francisco Javier Mina 59, Del Carmen, Coyoacán, Distrito Federal",
2,2,"19,500",2,84 m²,"Anillo Periferico 1, Pedregal De Carrasco, Coyoacán, Distrito Federal",1
3,2,"4,480,000",5,96 m²,"Educación, Coyoacán, Distrito Federal",0 años
1,1,"1,578,000",2,70 m²,"Coyoacán, Distrito Federal",
2,2,"12,500",4,75 m²,"Calz.  De Tlalpan, San Diego Churubusco, Coyoacán, Distrito Federal",0 años
2,2,"5,225,000",2,107 m²,"Begrand Alto Pedregal 000, Pedregal De Carrasco, Coyoacán, Distrito Federal",27
2,2,"21,900",4,110 m²,"Anillo Periférico, Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
1,1,"1,873,000",2,51.35 m²,"Copal O, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",1
2,1,"2,200,000",3,58 m²,"Pedregal De Carrasco, Coyoacán, Distrito Federal",0 años
